11904	ord_570e487975511	95.855	1460553849	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_570e4494d4a03	\N	EUR	\N	\N	Teststraße 123	5020	AT	christian.fasching@elements.at	\N	Teststraße 123	5020	Salzburg	AT	Salzburg	89.955	Christian	Fasching	Fasching	Christian	\N	\N	\N
11906	ord_570e4a25ddca8	263.99	1460554277	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_570e48b2c20b7	\N	EUR	\N	\N	söllheimerstraße 16	5020	AT	christian.fasching@elements.at	\N	söllheimerstraße 16	5020	salzburg	AT	salzburg	286.77	christian	fasching	fasching	christian	\N	\N	\N
11911	ord_570e92fca8185	142.21	1460572924	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_570e8bd618390	\N	EUR	\N	\N	ringstraße	1010	AT	peter.hugo@elements.at	\N	ringstraße	1010	wien	AT	wien	142.21	hugo	peter	peter	hugo	\N	\N	\N
11915	ord_570f33f3dfa92	205.455	1460614132	\N	\N	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_570f335e15060	\N	EUR	\N	\N	Schwarzstrasse 20	5020	AT	rk@gmail.com	\N	Schwarzstrasse 20	5020	Salzburg	AT	Salzburg	221.725	Eddard	Stark	Stark	Eddard	\N	\N	\N
11920	ord_570f3c4326858	105.85	1460616259	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_570f3b5738171	\N	EUR	\N	\N	Söllheimerstraße 16	5020	AT	amadeus.jelinek@elements.at	\N	Söllheimerstraße 16	5020	Salzburg	AT	Salzburg	99.95	Amadeus	Jelinek	Jelinek	Amadeus	\N	\N	\N
11922	ord_570f3f3cec5e9	186.07	1460617020	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_570f3f1008197	\N	EUR	\N	\N	Hauptstr 15	5020	AT	thomas.ballmann@elements.at	\N	Hauptstr 15	5020	Salzburg	AT	Salzburg	186.07	Thomas	Ballmann	Ballmann	Thomas	\N	\N	\N
11928	ord_576d10940796c	85.8	1466765460	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_576cec2097fc0	\N	EUR	\N	\N	test	test	DE	christian.fasching@elements.at	\N	test	test	test	DE	test	79.9	test	test	test	test	\N	\N	\N
11933	ord_578905c879b52	49.38	1468597705	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57890473ee1d4	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	43.48	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
11939	ord_5792147478ac4	139.88	1469191285	\N	\N	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57920dbc4c3e2	\N	EUR	\N	\N	Bayerhammerstrasse 14G	5020	AT	maciej.rudnicki@elements.at	\N	Bayerhammerstrasse 14G	5020	Salzburg	AT	Salzburg	133.98	Maciej	Rudnicki	Rudnicki	Maciej	\N	\N	\N
11972	ord_57a9813f7a88e	49.38	1470726463	\N	committed	OnlineShop\\Framework\\CartManager\\SessionCart_sesscart_57a97d17c52e7	\N	EUR	\N	\N	Teststraße	4040	AT	test@test.at	\N	Teststraße	4040	Teststadt	AT	Teststadt	43.48	Tester	Testerstester	Testerstester	Tester	\N	\N	\N
